experiment_name,llm_model,embedding_model,retriever_k,question,faithfulness,answer_correctness,answer_relevancy,context_precision,context_recall,latency_ms,question_normalized,section,section_order,question_order,faq_id,latency_s,experiment_short,experiment_label,experiment_descriptor
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Are UK applicants still eligible for EU Fees?,0.75,0.353,0.421,0.543,0.571,1804,are uk applicants still eligible for eu fees?,Fees,2,5,10edc5db9b0b288ad46d92594e125d764abd8b7f,1.804,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,I think I should be on the EU Fees rate - what should I do?,0.626,0.372,0.457,0.523,0.557,2004,i think i should be on the eu fees rate - what should i do?,Fees,2,6,2399e05e16b2f68d3229598693cc73eda759a500,2.004,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I pay my fees?,0.71,0.377,0.422,0.537,0.603,2075,how do i pay my fees?,Fees,2,7,b716ea686f13f7fbee636e50029b0eed454535d8,2.075,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Can I make a payment over the phone?,0.65,0.391,0.421,0.545,0.63,2011,can i make a payment over the phone?,Fees,2,8,57d50f8952cdf6cbadf79d974efd80e43ec46ced,2.011,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I get a receipt for payments made?,0.65,0.424,0.48,0.532,0.547,1995,how do i get a receipt for payments made?,Fees,2,9,3ffbb364ca633c984e9d7ab617cffd5841dd36cf,1.995,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Can UCD send an invoice to my employers?,0.642,0.43,0.42,0.521,0.586,2083,can ucd send an invoice to my employers?,Fees,2,10,f00895b7123d87b96cef2417efeeb3b1f3a77c58,2.083,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I request a Canadian Tax Form?,0.744,0.425,0.494,0.534,0.607,2016,how do i request a canadian tax form?,Fees,2,11,80dd49fae1d1a957b506c790e80582c2afb2a584,2.016,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I request a Refund?,0.615,0.378,0.416,0.521,0.612,1904,how do i request a refund?,Fees,2,12,df89e039c8c27fa615e87efa5f6f289e24929df4,1.904,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How much does it cost to resit/repeat a module?,0.668,0.422,0.434,0.532,0.612,1875,how much does it cost to resit/repeat a module?,Fees,2,13,3b39f64d82d00279869325be8f1cbef47108ba45,1.875,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How much does it cost to Substitute a Module?,0.755,0.383,0.473,0.548,0.579,1671,how much does it cost to substitute a module?,Fees,2,14,74ac72cd02c6f034ec0fdabf42cb03dc22d337a8,1.671,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,What are the fee implications if I withdraw from my programme?,0.686,0.361,0.498,0.538,0.563,1925,what are the fee implications if i withdraw from my programme?,Fees,2,15,8cf7359bba8ad08572b7db606bffca33f3c918ef,1.925,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,When are my fees due?,0.673,0.375,0.473,0.542,0.563,1900,when are my fees due?,Fees,2,16,41e632feeb85de2c7b8a16c3fcb693c5d2116d89,1.9,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I process my American/Canadian Loan cheque?,0.629,0.433,0.465,0.533,0.629,1832,how do i process my american/canadian loan cheque?,Fees,2,17,38f9da4d7ff936ce86e7de2de7a945387a3bb786,1.832,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I open a student Bank Account?,0.697,0.417,0.435,0.536,0.613,1438,how do i open a student bank account?,Fees,2,18,73e659d143b661f2972e31993f83d9e96d243c7d,1.438,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,I need to provide term dates from previous academic years for SUSI. Where can I find these?,0.685,0.422,0.467,0.542,0.547,2017,i need to provide term dates from previous academic years for susi. where can i find these?,Fees,2,19,320359343c7d937141a1e60c2a8867227cae117b,2.017,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I submit my Financial Guarantee/Sponsorship letter?,0.741,0.394,0.422,0.522,0.556,1882,how do i submit my financial guarantee/sponsorship letter?,Fees,2,20,caef2468aa28da90264aa19c037fbc0fac3b322d,1.882,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I pay a disciplinary related fine?,0.752,0.389,0.487,0.547,0.566,1689,how do i pay a disciplinary related fine?,Fees,2,21,8e7dd574ccce63c3e5c2a942419694667b5fddc8,1.689,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I access my online Electronic Documents?,0.723,0.402,0.444,0.523,0.573,1836,where can i access my online electronic documents?,Official Documents,3,1,eab5ed846f26855fee5f353ee410dce685b9034d,1.836,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Are my Electronic Documents available to me throughout the year?,0.74,0.413,0.407,0.541,0.621,1639,are my electronic documents available to me throughout the year?,Official Documents,3,2,575cf484ab9daf28402483a7abeb34ef3e35118e,1.639,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Can UCD email/scan my official documents to me and/or a third party?,0.632,0.399,0.436,0.531,0.591,1934,can ucd email/scan my official documents to me and/or a third party?,Official Documents,3,3,df27f1a55fc7187a280c487bc0a89ead09adb44a,1.934,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How can a Third Party verify my Electronic Documents?,0.683,0.423,0.468,0.541,0.579,1847,how can a third party verify my electronic documents?,Official Documents,3,4,b328d9154faea0acf565e168e4ebd7f57fc458a8,1.847,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I order a Hard Copy of my official documents?,0.637,0.363,0.466,0.547,0.61,2026,how do i order a hard copy of my official documents?,Official Documents,3,5,411d2879a1da1695972b56386706f4d4e70818b7,2.026,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How much do Hard Copies cost?,0.745,0.45,0.449,0.548,0.549,1726,how much do hard copies cost?,Official Documents,3,6,9314cc45d8bd56f293870cb7d7a297accb19c028,1.726,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I get a Certificate of Attendance?,0.634,0.405,0.489,0.528,0.618,1731,where can i get a certificate of attendance?,Official Documents,3,7,c03e691828509ae725289ee7cf936c96fefc8ff4,1.731,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,What is the difference between a Statement of Results and a Transcript?,0.726,0.427,0.401,0.545,0.549,2180,what is the difference between a statement of results and a transcript?,Official Documents,3,8,01ff27aca83852c6b1cf05105385d7e81d1eb232,2.18,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Why do my results say pending?,0.668,0.381,0.489,0.543,0.621,1791,why do my results say pending?,Official Documents,3,9,6dd4151a3deef9958ea1575a78faae8b36def469,1.791,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I send my UCD documents to WES?,0.616,0.395,0.414,0.531,0.572,2167,how do i send my ucd documents to wes?,Official Documents,3,10,1a487526804bfe94c3f150b165f38a1ecec16e2e,2.167,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Applying to the Teaching Council?,0.63,0.368,0.458,0.549,0.621,1922,applying to the teaching council?,Official Documents,3,11,8f8a99d3f7e03ec44756f3cf4cb6bfa9ead921a7,1.922,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How can I submit academic documents for Qualification Check?,0.748,0.418,0.405,0.523,0.566,2047,how can i submit academic documents for qualification check?,Official Documents,3,12,bff7c91949f5f1ff35e7dfaa117391a86d2e2d1c,2.047,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,I've submitted my documents to a third party and they've told me that they're unable to verify them. How can I solve this?,0.76,0.38,0.485,0.543,0.564,2138,i've submitted my documents to a third party and they've told me that they're unable to verify them. how can i solve this?,Official Documents,3,13,afb17db24142b8c0574dd2a75a64af49e238b59d,2.138,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,I need a letter to confirm that I withdrew from UCD. Where do I go?,0.627,0.41,0.494,0.536,0.576,2058,i need a letter to confirm that i withdrew from ucd. where do i go?,Official Documents,3,14,9dacca12c9a30216c6d15afecb8fdb2418a5ab28,2.058,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I get a form stamped?,0.661,0.417,0.454,0.528,0.619,1897,how do i get a form stamped?,Form Stamping,4,1,51e17a414973dadc5d11f953495b48f4e19e9732,1.897,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Can the Student Desk stamp forms in place of the Gardaí?,0.668,0.389,0.439,0.538,0.603,1907,can the student desk stamp forms in place of the gardaí?,Form Stamping,4,2,b0f539ac91dc1fcf449a4f740b30454dfa896ac7,1.907,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Can I drop a module when online registration is 'closed'?,0.625,0.384,0.423,0.545,0.562,2093,can i drop a module when online registration is 'closed'?,Registration,5,1,7bc4684722fd268e18ec94e0a93827d7b1b2af79,2.093,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,What are extenuating circumstances & how do I apply?,0.72,0.416,0.411,0.537,0.598,2044,what are extenuating circumstances & how do i apply?,Registration,5,2,2da1b1b67b039906ba73d5ac7557fe18f23e5e23,2.044,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,What is a substitute module?,0.625,0.427,0.417,0.522,0.567,1798,what is a substitute module?,Registration,5,3,7551ad89a90b18ca91e653522edee6f221dff7f2,1.798,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I find a syllabus/module descriptors of my course?,0.708,0.392,0.402,0.527,0.622,1965,where can i find a syllabus/module descriptors of my course?,Registration,5,4,e6aa6a653ce2626497b04eb317a8373f25b06930,1.965,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,What is a Leave of Absence and how do I apply?,0.695,0.405,0.412,0.527,0.613,1850,what is a leave of absence and how do i apply?,Registration,5,5,62414804a90a3db4789fdf05a951488d884ffc47,1.85,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I withdraw from my programme?,0.75,0.402,0.481,0.545,0.549,2034,how do i withdraw from my programme?,Registration,5,6,37b231b25b5923b4762b373e0a81f2798257d464,2.034,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Why have I not progressed to the next stage?,0.707,0.396,0.412,0.546,0.574,1524,why have i not progressed to the next stage?,Registration,5,7,8b736057aaabd66538f637fe582af647750b32b9,1.524,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I find more information on applying for Recognition of Prior Learning (RPL)?,0.673,0.413,0.492,0.531,0.555,1583,where can i find more information on applying for recognition of prior learning (rpl)?,Registration,5,8,39844efeeba0867b084e1f26f4a244cf141d9118,1.583,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Can I change my first name under the Gender ID & Expression policy?,0.642,0.393,0.409,0.549,0.566,1878,can i change my first name under the gender id & expression policy?,Registration,5,9,8f20b8fea121f0057d2376bf8106da1b2cdcfb05,1.878,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,I have a questions about UCD Micro-credentials,0.625,0.419,0.412,0.548,0.588,2048,i have a questions about ucd micro-credentials,Registration,5,10,8c77cd88fb5fc266282d62c25383698a3f8e109e,2.048,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,When are the end of term exams and when are results released?,0.705,0.417,0.452,0.534,0.543,1918,when are the end of term exams and when are results released?,Exams,6,1,58bf7420371a120439ca9db06ef029abbb5184ef,1.918,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I view my results?,0.75,0.375,0.492,0.542,0.61,1433,how do i view my results?,Exams,6,2,b22f29ebe46a563668fa92da36462ea43929e107,1.433,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Can I check a hold on my record?,0.644,0.417,0.418,0.544,0.551,1994,can i check a hold on my record?,Exams,6,3,9d7220eade407ca223b83b13ac6b846e8623f462,1.994,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,What is the difference between a repeat and a resit?,0.642,0.435,0.431,0.543,0.593,2225,what is the difference between a repeat and a resit?,Exams,6,4,bb0d85f1462958b4d674c967a369bd9fcb133d63,2.225,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Are final results for all programmes available online?,0.668,0.434,0.406,0.53,0.572,1724,are final results for all programmes available online?,Exams,6,5,7ff68e1333ee72c3ff84bb40c217d107f5ba8b06,1.724,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I calculate my Degree Award GPA?,0.642,0.353,0.408,0.549,0.54,2078,how do i calculate my degree award gpa?,Exams,6,6,1c5aa864d969e44dcd955250403dd4ee76d160a0,2.078,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I access past exam papers?,0.612,0.364,0.443,0.533,0.552,1765,where can i access past exam papers?,Exams,6,7,1c11517398fffa9e4fa8f80fe848f33c796fca81,1.765,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I appeal a grade?,0.693,0.395,0.401,0.541,0.545,1967,how do i appeal a grade?,Exams,6,8,893511c3b19309b6161d3ef6d4deaa2b5716c9bf,1.967,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Can I submit my thesis electronically?,0.727,0.367,0.432,0.536,0.613,1751,can i submit my thesis electronically?,Graduate Research Theses,7,1,0e2356f65b64096b2ead818b2dc96f54cd51deec,1.751,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I submit my thesis electronically?,0.616,0.364,0.461,0.527,0.573,1931,how do i submit my thesis electronically?,Graduate Research Theses,7,2,b6bf9dd6b6d722ad1a577a99532cb48910f99123,1.931,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I find guidelines/regulations about thesis formatting?,0.625,0.43,0.449,0.528,0.572,1865,where can i find guidelines/regulations about thesis formatting?,Graduate Research Theses,7,3,fa22aee5b4029abcd98420667e73d0fd8b1ec78e,1.865,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How many copies of my thesis do I need to submit?,0.741,0.438,0.49,0.54,0.547,2033,how many copies of my thesis do i need to submit?,Graduate Research Theses,7,4,2855083eb9e93ee613fd4bdce728959615dc06b5,2.033,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,"If I submitted my thesis electronically, do I still need to submit a hardbound copy?",0.728,0.399,0.491,0.521,0.621,1653,"if i submitted my thesis electronically, do i still need to submit a hardbound copy?",Graduate Research Theses,7,5,25318fece301538e0a1f475cffc644e66734f9ec,1.653,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,What is the ACCE?,0.617,0.396,0.432,0.52,0.565,2027,what is the acce?,Graduate Research Theses,7,6,e60ac79b225072bd067bbca21e28377f1f3906df,2.027,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Do I have to submit my thesis by a certain time of day?,0.674,0.427,0.488,0.532,0.587,1705,do i have to submit my thesis by a certain time of day?,Graduate Research Theses,7,7,39c22cf6857cdf7cd54b055f358eedcc0c23af25,1.705,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I correct the title of my thesis?,0.631,0.388,0.439,0.529,0.593,2063,how do i correct the title of my thesis?,Graduate Research Theses,7,8,724f8daf770090030a8058f182a539210689600a,2.063,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I find information on both on-campus and off-campus accommodation?,0.703,0.419,0.438,0.542,0.616,2367,where can i find information on both on-campus and off-campus accommodation?,Accommodation,8,1,725ce4ddc43c561e956d8ee826dc467d0e754aa5,2.367,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I search for lost property?,0.618,0.386,0.43,0.538,0.591,1933,where can i search for lost property?,Lost Property,9,1,8462fe3b012badb28a481faaa0d6950e94073ebb,1.933,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I apply for a Scholarship?,0.617,0.411,0.457,0.547,0.609,1997,how do i apply for a scholarship?,Information for International Students,10,1,b8d7e15de20cc4f7f25ab793b63654c7a342c259,1.997,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I get a letter to confirm course completion for my Stamp 1G visa application?,0.682,0.375,0.412,0.523,0.574,1786,where can i get a letter to confirm course completion for my stamp 1g visa application?,Information for International Students,10,2,14dbccc73d143003bc1fc635a4ff841eab753abd,1.786,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Who do I contact if I have questions about my visa/visa requirements?,0.6,0.428,0.413,0.543,0.621,2002,who do i contact if i have questions about my visa/visa requirements?,Information for International Students,10,3,4ced38d40a745ec35e11446dc18388c653d7c21b,2.002,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,I am an international student. Where can I find information about arriving in Ireland?,0.707,0.434,0.401,0.533,0.615,1992,i am an international student. where can i find information about arriving in ireland?,Information for International Students,10,4,bf8d2d726fa9d69b7989c832259d96bdd8bbff9e,1.992,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I get a letter about QQI accreditation to support my PPSN application?,0.65,0.387,0.411,0.535,0.605,2068,where can i get a letter about qqi accreditation to support my ppsn application?,Information for International Students,10,5,21d248b0093ed9ec24578f88264e6ba04b1f93ff,2.068,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,How do I complete my Garda Vetting Application?,0.665,0.416,0.47,0.54,0.561,1708,how do i complete my garda vetting application?,Garda Vetting,11,1,6ccbcbe81c68d497330ae8fa12221d268c80aa40,1.708,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Where can I find further information about conferring?,0.75,0.424,0.426,0.526,0.611,2026,where can i find further information about conferring?,Conferring,12,1,1535f7203d993fa6dfac1c2d8a25d886c3839426,2.026,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,"I am due to confer in September or December, what do I need to know?",0.688,0.43,0.473,0.547,0.59,1706,"i am due to confer in september or december, what do i need to know?",Conferring,12,2,ed936f1dd7c94f094b5fc089f99876fea7cfadda,1.706,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_basic_dense_False,llama3.2:3b,nomic-embed-text,4,Staff Query?,0.705,0.398,0.422,0.534,0.549,1895,staff query?,Staff Query,13,1,90460b760499742189edfc402b56aa035993a134,1.895,Exp 1,First model,llama3.2:3b | nomic-embed-text | k=4
voyageai_512_64_contextual_hybrid_True,phi3:mini,mxbai-embed-large,6,"How do I log in to UCD IT Systems including SISWeb, Brightspace or UCD Email?",0.937,0.92,0.915,0.847,0.935,1623,"how do i log in to ucd it systems including sisweb, brightspace or ucd email?",UCD Connect,1,1,06015524abfb12e15ae01220483b6705b73c6679,1.623,Exp 2,Best model,phi3:mini | mxbai-embed-large | k=6
voyageai_512_64_contextual_hybrid_True,phi3:mini,mxbai-embed-large,6,What is SISWeb? What is Brightspace?,0.902,0.874,0.906,0.808,0.914,1814,what is sisweb? what is brightspace?,UCD Connect,1,2,d5d545c772a11ec1f5295a7d95a76f7935782acf,1.814,Exp 2,Best model,phi3:mini | mxbai-embed-large | k=6
voyageai_512_64_contextual_hybrid_True,phi3:mini,mxbai-embed-large,6,How do I reset my password?,0.849,0.86,0.953,0.802,0.965,1736,how do i reset my password?,UCD Connect,1,3,cd64d1632af8dfa4b824b30699085f22c8ddfcc8,1.736,Exp 2,Best model,phi3:mini | mxbai-embed-large | k=6
